source,year,main_item,item,amount_thousand_try
ministries,2017,Genel Bütçeli İdareler,Türkiye İstatistik Kurumu Başkanlığı,388106.0
ministries,2017,Genel Bütçeli İdareler,Orman ve Su İşleri Bakanlığı,14663074.0
ministries,2017,Genel Bütçeli İdareler,Meteoroloji Genel Müdürlüğü,277493.0
ministries,2017,Genel Bütçeli İdareler,"Ulaştırma, Denizcilik ve Haberleşme Bakanlığı",24164820.0
balance,2018,Harcamalar,Harcamalar,762753272.0
balance,2018,Harcamalar,1-Faiz Hariç Harcama,691053272.0
balance,2018,Harcamalar,Personel Giderleri,183127279.0
balance,2018,Harcamalar,Sosyal Güv.Kur. Devlet Primi,30792221.0
balance,2018,Harcamalar,Mal ve Hizmet Alımları,66068658.0
balance,2018,Harcamalar,Cari Transferler,299398527.0
balance,2018,Harcamalar,Sermaye Giderleri,68794000.0
balance,2018,Harcamalar,Sermaye Transferleri,15323723.0
balance,2018,Harcamalar,Borç Verme,20230859.0
balance,2018,Harcamalar,Yedek Ödenekler,7318005.0
balance,2018,Harcamalar,2-Faiz Harcamaları,71700000.0
balance,2018,Gelirler,Gelirler,696829321.0
balance,2018,Gelirler,1-Genel Bütçe Gelirleri,681349805.0
balance,2018,Gelirler,Vergi Gelirleri,599425100.0
balance,2018,Gelirler,Teşebbüs ve Mülkiyet Gelirleri,20150216.0
balance,2018,Gelirler,Alınan Bağış ve Yardımlar ile Özel Gelirler,2769201.0
balance,2018,Gelirler,"Faizler, Paylar ve Cezalar",46471460.0
balance,2018,Gelirler,Sermaye Gelirleri,12082256.0
balance,2018,Gelirler,Alacaklardan Tahsilat,451572.0
balance,2018,Gelirler,2-Özel Bütçeli İdarelerin Öz Gelirleri,10870759.0
balance,2018,Gelirler,3-Düzen. ve Denet. Kurumların Gelirleri,4608757.0
balance,2018,Denge,Bütçe Dengesi,-65923951.0
balance,2018,Denge,Faiz Dışı Denge,5776049.0
expense_detail,2018,1. Personel Giderleri,1. Personel Giderleri,183127279.0
expense_detail,2018,1. Personel Giderleri,Memurlar,155811137.0
expense_detail,2018,1. Personel Giderleri,İşçiler,8859719.0
expense_detail,2018,1. Personel Giderleri,Sözleşmeli Personel,10899529.0
expense_detail,2018,2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,30792221.0
expense_detail,2018,3. Mal ve Hizmet Alım Giderleri,3. Mal ve Hizmet Alım Giderleri,66068658.0
